id,tanggal (WIB),waktu (WIB),lintang,bujur,tingkat kepercayaan,satelit,radius kemungkinan,kecamatan,kabupaten,provinsi,tipe
3812048,8/10/2023,1:12:05,-6.3186636,106.9294434,8,snpp,1125,Pondok Melati,Bekasi,Jawa Barat,Cluster
3812049,8/10/2023,1:12:05,-6.547564745,108.0944443,8,snpp,1280,Terisi,Indramayu,Jawa Barat,Cluster
3812050,8/10/2023,1:12:05,-6.50226498,107.5472107,8,snpp,1125,Cibatu,Purwakarta,Jawa Barat,Cluster
3812051,8/10/2023,1:12:05,-6.59629726,108.0656052,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3812054,8/10/2023,1:12:05,-6.76369619,108.5937042,8,snpp,1125,Mundu,Cirebon,Jawa Barat,Cluster
3812077,8/10/2023,9:40:00,-6.592132092,108.1574326,8,terra,3000,Cikedung,Indramayu,Jawa Barat,Cluster
3812712,8/10/2023,13:00:29,-7.116743448,107.8898106,8,noaa20,1500,Leles,Garut,Jawa Barat,Cluster
3812715,8/10/2023,13:00:29,-7.16461849,106.6640015,8,noaa20,1125,Waluran,Sukabumi,Jawa Barat,Cluster
3812716,8/10/2023,13:00:29,-7.01633072,107.6312408,7,noaa20,1125,Baleendah,Bandung,Jawa Barat,Cluster
3812717,8/10/2023,13:00:29,-6.96475458,107.8053513,8,noaa20,1125,Cimanggung,Sumedang,Jawa Barat,Cluster
3812718,8/10/2023,13:00:29,-6.99826336,107.547081,8,noaa20,1125,Katapang,Bandung,Jawa Barat,Cluster
3812719,8/10/2023,13:00:29,-6.97366858,107.6916657,7,noaa20,1125,Bojongsoang,Bandung,Jawa Barat,Cluster
3812720,8/10/2023,13:00:29,-6.93497801,107.6994476,7,noaa20,1125,Panyileukan,Bandung,Jawa Barat,Cluster
3812721,8/10/2023,13:00:29,-6.9468894,107.5351791,8,noaa20,1125,Margaasih,Bandung,Jawa Barat,Cluster
3812722,8/10/2023,13:00:29,-6.67359447,108.3682632,7,noaa20,1125,Susukan,Cirebon,Jawa Barat,Cluster
3812723,8/10/2023,13:00:29,-6.692809105,108.1617508,7,noaa20,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3812724,8/10/2023,13:00:29,-6.69727755,108.0804749,7,noaa20,1125,Ujungjaya,Sumedang,Jawa Barat,Cluster
3812725,8/10/2023,13:00:29,-6.74265385,107.3861466,8,noaa20,1125,Cipeundeuy,Bandung Barat,Jawa Barat,Cluster
3812726,8/10/2023,13:00:29,-6.59771514,108.1088562,8,noaa20,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3812727,8/10/2023,13:00:29,-6.60255432,108.0124435,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3812728,8/10/2023,13:00:29,-6.60984993,107.885437,8,noaa20,1125,Surian,Sumedang,Jawa Barat,Cluster
3812729,8/10/2023,13:00:29,-6.591132165,107.9767151,8,noaa20,1280,Haurgeulis,Indramayu,Jawa Barat,Cluster
3812730,8/10/2023,13:00:29,-6.54384327,108.0883331,7,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3812731,8/10/2023,13:00:29,-6.52214336,108.0980301,7,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3812732,8/10/2023,13:00:29,-6.50714445,107.5025444,8,noaa20,1280,Campaka,Purwakarta,Jawa Barat,Cluster
3812733,8/10/2023,13:00:29,-6.48171139,107.6370468,7,noaa20,1125,Kalijati,Subang,Jawa Barat,Cluster
3812734,8/10/2023,13:00:29,-6.45938683,107.5582275,8,noaa20,1125,Pabuaran,Subang,Jawa Barat,Cluster
3812735,8/10/2023,13:00:29,-6.45138025,107.5615006,7,noaa20,1125,Pabuaran,Subang,Jawa Barat,Cluster
3812737,8/10/2023,13:00:29,-6.36821413,107.3617935,8,noaa20,1125,Klari,Karawang,Jawa Barat,Cluster
